,id,label,max_val
210,6dfff445-3b3d-445e-8582-80543bac144c,5.0,3172.05664880021
211,6e59cd07-1f68-4cb2-8252-77f592658077,16.0,8848.87114200319
212,6e70641f-9b9c-4060-9193-bb9f125ca882,5.0,5655.63631360055
213,6f2d318d-5f3e-43fd-b4dd-ff36c6caa247,3.0,5279.86086159945
214,6f42a2b3-4ed3-46ca-be7e-2acd46f7db39,15.0,8106.39192079907
215,6f4ad391-b95c-4ac7-b59f-371c947bcdb5,2.0,5722.46418880241
216,6f7d1d04-49af-456b-8f6f-1edf0f8a65f9,0.0,19073.8362743941
217,6f978c7f-5e38-4df9-80f9-2d755c3e6762,17.0,6148.35534559825
218,6fafd6fb-e139-44f8-9f63-960f607221ca,6.0,12896.0177968002
219,7005219e-531b-4e7d-891a-89f9e4a16225,11.0,7915.7898560079
220,713544bb-736a-4078-93f5-fe4643a20f15,15.0,15899.6736667978
221,718d8e77-f83f-4856-840d-8df0a3d09da8,15.0,25493.5966740013
222,71fa4869-d108-42d4-a58d-83ef62b49b71,2.0,10879.8571247989
223,7205a5fd-6307-493e-bf23-892f3eb3633a,14.0,3811.53953600005
224,720a7976-86b1-4a51-95fc-1cb9ba92849d,17.0,4797.71795799934
225,721b47b2-d5cc-411d-80ea-56a2f857acaf,6.0,5566.8243836044
226,7225bf67-90fa-433b-b976-a5c62f65173b,5.0,5587.3367003951
227,729c42e9-5169-45ad-a693-58e30038281a,5.0,5162.15770879717
228,72b92a0d-b4fa-49bd-b6de-5f8704e10282,16.0,4489.82259480181
229,72d8a014-3432-48e7-b086-ddaa8b0e2e74,15.0,15915.3186043986
230,730ad994-385b-4223-b9d3-55a4f56453ae,0.0,21010.3669971977
231,75106228-f23e-4f7b-a3da-9456bb35ea93,11.0,10201.534152402
232,75504b66-0cb8-4235-97f1-6c1591a61260,0.0,10656.9810779984
233,7558ee98-7e2c-443c-90af-fc0e7e247ef5,0.0,25482.7785700036
234,768edbce-daae-40d1-8056-94b3b18a1af4,8.0,22301.1756623996
235,77c17c08-c504-408c-ba53-4a94fa77b77c,5.0,7167.57886000414
236,7840dd62-042f-42e8-9179-87909fc6b17e,6.0,5864.38952880053
237,79c4b2a4-8184-48e0-b36e-24146f28e12e,8.0,13166.8051640008
238,7aaf6ed0-00d8-447b-80ea-ddab8849f36c,5.0,5484.53155759853
239,7beaf996-bb84-4585-bf98-aca1049fca73,10.0,6971.5118524
240,7c0ab6b9-bae5-49ae-b84d-841f48a669ee,11.0,12591.5364447865
241,7c60634e-71ce-466f-af98-47cd3c81ea86,2.0,10980.7185884001
242,7cbd49f8-a257-4cba-af5e-4bdc2ab3116b,1.0,17097.6888336008
243,7ccfe084-b08e-45b9-8775-b2c4421c210d,0.0,13642.5926392003
244,7cf6335e-2892-4057-83be-294074cf605b,5.0,8186.07038240225
245,7d50541d-1d50-4ded-8bb4-56c4f2a08ed5,2.0,6363.31485600385
246,7daae0ae-9b8d-4544-9d97-0471c65696fe,7.0,10189.3434775993
247,7df41ded-e917-4c3d-b244-77b9c98d5c83,8.0,18311.6578968002
248,7fad1907-92ee-4959-9e36-136d10d73935,6.0,5585.10673480123
249,7ff4a8b0-73a6-4a23-8a2a-3c53530c8b1d,3.0,4036.43451640528
250,7ff81177-37f7-4082-b47a-3f12999b70f5,1.0,4877.49267639811
251,7ffa2647-e30f-4be6-ae08-8b60f1f3f422,15.0,15435.4171384039
252,802773ff-4abe-496d-b815-3481c82d6434,5.0,3819.10607440022
253,805495f7-5401-4b6b-8a6c-9a488cd3cc35,0.0,4265.43015800053
